epoch,train_loss,val_loss,val_acc
1,0.600880248175959,0.18881133780197412,0.9354180829367778
2,0.17270195604262556,0.10235275845799942,0.9626104690686608
3,0.10658001934305338,0.07523956411169307,0.9714479945615228
4,0.08499978642604765,0.07932809820331578,0.9687287559483345
5,0.08675225029080787,0.07133046881549622,0.9707681849082257
6,0.05763657751881616,0.05758586138193093,0.9755268524813052
7,0.0605183561930971,0.057818274793071375,0.9748470428280082
8,0.0456836039025911,0.06054169334152132,0.9782460910944936
9,0.0431451538970095,0.06268047328650911,0.9707681849082257
10,0.040530140455473325,0.06379646422211042,0.972807613868117
11,0.04452352926687427,0.051768133043229865,0.9802855200543847
12,0.030990318577471202,0.05294656513966645,0.9782460910944936
13,0.023501685915061597,0.06224299575766279,0.9721278042148198
14,0.024371032251681402,0.07356881849685548,0.9748470428280082
15,0.031028136348738553,0.06757133887646394,0.973487423521414
16,0.029141923361054856,0.05735362628329214,0.9789259007477906
17,0.02814391498431586,0.05898754339713292,0.9768864717878993
18,0.018719123691146856,0.0607829368860036,0.9789259007477906
19,0.02125691720457927,0.061372235062817665,0.9768864717878993
